symbol,company,pid,sector,exit_type,invest_year_ESG_1,invest_year_ESG_2,invest_year_ESG_3,invest_year_ESG_4,invest_year_ESG_5,invest_year_ESG_6,invest_year_ESG_7,invest_year_ESG_8,invest_year_ESG_9,invest_year_ESG_10,invest_year_ESG_11,comb_holding_percent_ESG_1,comb_holding_percent_ESG_2,comb_holding_percent_ESG_3,comb_holding_percent_ESG_4,comb_holding_percent_ESG_5,comb_holding_percent_ESG_6,comb_holding_percent_ESG_7,comb_holding_percent_ESG_8,comb_holding_percent_ESG_9,comb_holding_percent_ESG_10,comb_holding_percent_ESG_11,investors_ESG_1,investors_ESG_2,investors_ESG_3,investors_ESG_4,investors_ESG_5,investors_ESG_6,investors_ESG_7,investors_ESG_8,investors_ESG_9,investors_ESG_10,investors_ESG_11,invest_year_Governance_1,invest_year_Governance_2,invest_year_Governance_3,invest_year_Governance_4,invest_year_Governance_5,invest_year_Governance_6,invest_year_Governance_7,invest_year_Governance_8,invest_year_Governance_9,invest_year_Social_1,invest_year_Social_2,invest_year_Social_3,invest_year_Social_4,invest_year_Environmental_1,invest_year_Environmental_2,invest_year_Environmental_3,invest_year_Environmental_4,invest_year_Environmental_5,invest_year_Environmental_6,comb_holding_percent_Governance_1,comb_holding_percent_Governance_2,comb_holding_percent_Governance_3,comb_holding_percent_Governance_4,comb_holding_percent_Governance_5,comb_holding_percent_Governance_6,comb_holding_percent_Governance_7,comb_holding_percent_Governance_8,comb_holding_percent_Governance_9,comb_holding_percent_Social_1,comb_holding_percent_Social_2,comb_holding_percent_Social_3,comb_holding_percent_Social_4,comb_holding_percent_Environmental_1,comb_holding_percent_Environmental_2,comb_holding_percent_Environmental_3,comb_holding_percent_Environmental_4,comb_holding_percent_Environmental_5,comb_holding_percent_Environmental_6,investors_Governance_1,investors_Governance_2,investors_Governance_3,investors_Governance_4,investors_Governance_5,investors_Governance_6,investors_Governance_7,investors_Governance_8,investors_Governance_9,investors_Social_1,investors_Social_2,investors_Social_3,investors_Social_4,investors_Environmental_1,investors_Environmental_2,investors_Environmental_3,investors_Environmental_4,investors_Environmental_5,investors_Environmental_6
SCTY,SolarCity Corporation,1281,Technology,Purchased by Listed Company,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SD,SandRidge Energy Inc.,1320,Energy,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEAC,SeaChange International Inc.,3161,Technology,Sold Shares,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEAS,"SeaWorld Entertainment, Inc.",26264,Consumer Cyclical,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
SEB,Seaboard Corporation,1180,Industrials,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEV,"Sevcon, Inc.",16148,Technology,Purchased by Listed Company,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SFE,Safeguard Scientifics Inc.,3361,Financial Services,NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SFLY,Shutterfly Inc.,1518,Consumer Cyclical,Sold Shares,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGA,Saga Communications Inc.,3753,Consumer Cyclical,NA,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGRP,SPAR Group Inc.,5036,Industrials,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
