symbol,date,returns,year
AGCO,2015-12-31,0.01375240868162475,2015
AGCO,2016-12-30,0.28837488761143715,2016
AGCO,2017-12-29,0.24496287432278407,2017
AGCO,2018-12-31,-0.21302804751225224,2018
AGCO,2019-12-31,0.4001510263221326,2019
AGCO,2020-12-31,0.34765184444068065,2020
AGCO,2021-12-30,0.14875923788062995,2021
AHT,2013-12-31,0.17729787654666196,2013
AHT,2014-12-31,0.40140297724975005,2014
AHT,2015-12-31,-0.35832282156989304,2015
AHT,2016-12-30,0.3335042226549081,2016
AHT,2017-12-29,-0.06436522288239788,2017
AHT,2018-12-31,-0.35336961944440914,2018
AHT,2019-12-31,-0.2307404540570186,2019
AHT,2020-12-31,-0.907168458781362,2020
AHT,2021-12-30,-0.6127413127413128,2021
AIG,2013-12-31,0.40507389893744006,2013
AIG,2014-12-31,0.10738889595448198,2014
AIG,2015-12-31,0.12149473758061591,2015
AIG,2016-12-30,0.07765711596964597,2016
AIG,2017-12-29,-0.06864406077514984,2017
AIG,2018-12-31,-0.3209221137745891,2018
AIG,2019-12-31,0.3358083226437365,2019
AIG,2020-12-31,-0.23083296335509096,2020
AIG,2021-12-30,0.5359525772357543,2021
AIRC,2020-12-31,0.012121087262602526,2020
AIRC,2021-12-30,0.4667454913996296,2021
AIRT,2013-12-31,0.4546796204853889,2013
AIRT,2014-12-31,1.1361738095238092,2014
AIRT,2015-12-31,-0.04301914268636786,2015
AIRT,2016-12-30,-0.06007361830512403,2016
AIRT,2017-12-29,0.07347821898865692,2017
AIRT,2018-12-31,-0.00769544396691646,2018
AIRT,2019-12-31,0.2336735700958017,2019
AIRT,2020-12-31,0.23573200992555843,2020
AIRT,2021-12-30,0.017670682730923648,2021
AIZ,2013-12-31,0.9056735922237875,2013
AIZ,2014-12-31,0.04776486175864969,2014
AIZ,2015-12-31,0.19941388065177734,2015
AIZ,2016-12-30,0.18192940232963495,2016
AIZ,2017-12-29,0.1098306297850673,2017
AIZ,2018-12-31,-0.09179446103404154,2018
AIZ,2019-12-31,0.4978180517362747,2019
AIZ,2020-12-31,0.06094839033572885,2020
AIZ,2021-12-30,0.15656181228036337,2021
ALCO,2013-12-31,-0.010037262116666112,2013
ALCO,2014-12-31,0.29676171907042703,2014
ALCO,2015-12-31,-0.22240396388398886,2015
ALCO,2016-12-30,-0.2921715596577309,2016
ALCO,2017-12-29,0.0951855791964551,2017
ALCO,2018-12-31,0.007860625018129452,2018
ALCO,2019-12-31,0.2250586291311989,2019
ALCO,2020-12-31,-0.12115681474593598,2020
ALCO,2021-12-30,0.23746562708274577,2021
ALGT,2013-12-31,0.42681747276274384,2013
ALGT,2014-12-31,0.4520413050096943,2014
ALGT,2015-12-31,0.1333281684654195,2015
ALGT,2016-12-30,0.007783802549774288,2016
ALGT,2017-12-29,-0.05155461628590696,2017
ALGT,2018-12-31,-0.33948248199707143,2018
ALGT,2019-12-31,0.7697635857505538,2019
ALGT,2020-12-31,0.09317950742987136,2020
ALGT,2021-12-30,-0.0013210737338544831,2021
ALK,2013-12-31,0.6795603897013334,2013
ALK,2014-12-31,0.6465773871859093,2014
ALK,2015-12-31,0.3625102897959027,2015
ALK,2016-12-30,0.11982607589724115,2016
ALK,2017-12-29,-0.15900876082784166,2017
ALK,2018-12-31,-0.15548816489957085,2018
ALK,2019-12-31,0.13781594776365647,2019
ALK,2020-12-31,-0.22811960286753563,2020
ALK,2021-12-30,-0.0011538653846153712,2021
ALL,2013-12-31,0.3525117687647563,2013
ALL,2014-12-31,0.3123349589366431,2014
ALL,2015-12-31,-0.09946654061054427,2015
ALL,2016-12-30,0.21724021519043135,2016
ALL,2017-12-29,0.43644529543833843,2017
ALL,2018-12-31,-0.19520110724103945,2018
ALL,2019-12-31,0.38821300589477525,2019
ALL,2020-12-31,-0.0011674765201199477,2020
ALL,2021-12-30,0.09892561438070802,2021
ALRM,2015-12-31,-0.011848282692433876,2015
ALRM,2016-12-30,0.6684652278177456,2016
ALRM,2017-12-29,0.3564498742364355,2017
ALRM,2018-12-31,0.3740397086092715,2018
ALRM,2019-12-31,-0.17158276791175564,2019
ALRM,2020-12-31,1.4074934743427163,2020
ALRM,2021-12-30,-0.1844368734007793,2021
ALSN,2013-12-31,0.351085533957711,2013
ALSN,2014-12-31,0.24838500854839318,2014
ALSN,2015-12-31,-0.2208347003159835,2015
ALSN,2016-12-30,0.3309985267801201,2016
ALSN,2017-12-29,0.2990325625697212,2017
ALSN,2018-12-31,0.03341093180715515,2018
ALSN,2019-12-31,0.11500571091451128,2019
ALSN,2020-12-31,-0.09083790267748237,2020
ALSN,2021-12-30,-0.15736254728460386,2021
AMAT,2013-12-31,0.5319672056666964,2013
AMAT,2014-12-31,0.436954491382453,2014
AMAT,2015-12-31,-0.23516401479055804,2015
AMAT,2016-12-30,0.7570243183026015,2016
AMAT,2017-12-29,0.5986130581534315,2017
AMAT,2018-12-31,-0.3492199420869303,2018
AMAT,2019-12-31,0.8985512919441598,2019
AMAT,2020-12-31,0.4329000870282871,2020
AMAT,2021-12-30,0.8436038747984516,2021
AMBC,2013-12-31,0.22799995000000006,2013
AMBC,2014-12-31,-0.0024429561255275845,2014
AMBC,2015-12-31,-0.42489795918367346,2015
AMBC,2016-12-30,0.5968772178850248,2016
AMBC,2017-12-29,-0.2897777777777778,2017
AMBC,2018-12-31,0.07884856070087598,2018
AMBC,2019-12-31,0.2511600928074247,2019
AMBC,2020-12-31,-0.28697264719517845,2020
AMBC,2021-12-30,0.04486345903771127,2021
AMCX,2013-12-31,0.33549021568627446,2013
AMCX,2014-12-31,-0.06372046595624037,2014
AMCX,2015-12-31,0.1710835816214522,2015
AMCX,2016-12-30,-0.29914301017675415,2016
AMCX,2017-12-29,0.033244210928544016,2017
