symbol,year,date_form,returns,cum_holding_sum,cum_G_holding_sum,cum_S_holding_sum,cum_E_holding_sum
DUK,2012,2012-12-31,6.267163581299418e-4,0.61,0.61,0,0
DUK,2013,2013-12-31,0.10899989880630724,0.61,0.61,0,0
DUK,2014,2014-12-31,0.2634850697931932,0.61,0.61,0,0
DUK,2015,2015-12-31,-0.10771968886186178,0.61,0.61,0,0
DUK,2016,2016-12-31,0.134362831646341,0.61,0.61,0,0
DUK,2017,2017-12-31,0.12955783343408456,0.61,0.61,0,0
DUK,2018,2018-12-31,0.07415882755674774,0.61,0.61,0,0
DUK,2019,2019-12-31,0.10288203398078166,0.61,0.61,0,0
DUK,2020,2020-12-31,0.04771477000539859,0.61,0.61,0,0
DUK,2021,2021-12-31,0.18986424840168548,0.71,0.71,0,0
DUNR,2005,2005-12-31,NA,NA,NA,NA,NA
DUNR,2006,2006-12-31,NA,NA,NA,NA,NA
DUNR,2007,2007-12-31,NA,NA,NA,NA,NA
DUNR,2008,2008-12-31,NA,0,0,0,0
DUNR,2009,2009-12-31,NA,NA,NA,NA,NA
DUNR,2010,2010-12-31,NA,NA,NA,NA,NA
DUNR,2011,2011-12-31,NA,NA,NA,NA,NA
DUNR,2012,2012-12-31,NA,NA,NA,NA,NA
DVA,2013,2013-12-31,0.1606227348213456,NA,NA,NA,NA
DVA,2014,2014-12-31,0.19520276463946296,NA,NA,NA,NA
DVA,2015,2015-12-31,-0.07961445945641565,NA,NA,NA,NA
DVA,2016,2016-12-31,-0.07904177419368486,0,0,0,0
DVA,2017,2017-12-31,0.12538946068798107,0,0,0,0
DVA,2018,2018-12-31,-0.28775087889273354,NA,NA,NA,NA
DVA,2019,2019-12-31,0.4580256598916763,NA,NA,NA,NA
DVA,2020,2020-12-31,0.5647074978636211,NA,NA,NA,NA
DVA,2021,2021-12-31,-0.03509372171901659,NA,NA,NA,NA
DVD,1999,1999-12-31,0.6113168372523936,NA,NA,NA,NA
DVD,2000,2000-12-31,-0.35131297696036967,NA,NA,NA,NA
DVD,2001,2001-12-31,0.4090241778642769,NA,NA,NA,NA
DVD,2002,2002-12-31,-4.121178889377616,2.56,2.56,0,0
DVD,2003,2003-12-31,-0.23973474080507495,NA,NA,NA,NA
DVD,2004,2004-12-31,0.6521604747999477,NA,NA,NA,NA
DVD,2005,2005-12-31,0.07481213075014437,NA,NA,NA,NA
DVD,2006,2006-12-31,-0.12138880944514364,NA,NA,NA,NA
DWCH,2011,2011-12-31,0.6231884057971013,NA,NA,NA,NA
DWCH,2012,2012-12-31,1.4571428571428573,NA,NA,NA,NA
DWCH,2013,2013-12-31,1.4069354564755838,NA,NA,NA,NA
DWCH,2014,2014-12-31,-0.735665965049454,0,0,0,0
DWCH,2015,2015-12-31,-0.33481646273637367,NA,NA,NA,NA
DWCH,2016,2016-12-31,-0.08026755852842815,NA,NA,NA,NA
DWCH,2017,2017-12-31,0.7272727272727273,NA,NA,NA,NA
DWCH,2018,2018-12-31,0.3789473684210527,NA,NA,NA,NA
DXLG,2014,2014-12-31,-0.1651376146788991,NA,NA,NA,NA
DXLG,2015,2015-12-31,0.01098901098901095,NA,NA,NA,NA
DXLG,2016,2016-12-31,-0.23007246376811585,NA,NA,NA,NA
DXLG,2017,2017-12-31,-0.48235294117647054,0,0,0,0
DXLG,2018,2018-12-31,-0.01363636363636378,NA,NA,NA,NA
DXLG,2019,2019-12-31,-0.4101382488479262,NA,NA,NA,NA
DXLG,2020,2020-12-31,-0.7890625,NA,NA,NA,NA
DXLG,2021,2021-12-31,20.25925925925926,NA,NA,NA,NA
DXTR,2010,2010-12-31,NA,NA,NA,NA,NA
DXTR,2011,2011-12-31,NA,NA,NA,NA,NA
DXTR,2012,2012-12-31,NA,NA,NA,NA,NA
DXTR,2013,2013-12-31,NA,0,0,0,0
DXTR,2014,2014-12-31,NA,NA,NA,NA,NA
DXTR,2015,2015-12-31,NA,NA,NA,NA,NA
DXTR,2016,2016-12-31,NA,NA,NA,NA,NA
DXTR,2017,2017-12-31,NA,NA,NA,NA,NA
EA,2016,2016-12-31,0.14610020855549033,NA,NA,NA,NA
EA,2017,2017-12-31,0.33392559724533544,NA,NA,NA,NA
EA,2018,2018-12-31,-0.24890534773443265,NA,NA,NA,NA
EA,2019,2019-12-31,0.3624382136986761,0,0,0,0
EA,2020,2020-12-31,0.33746960100711965,NA,NA,NA,NA
EA,2021,2021-12-31,-0.05899014531225144,NA,NA,NA,NA
